PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,WinsA,LossesA,WinsB,LossesB,WinRateA,WinRateB
Altmaier D.,Shapovalov D.,80,121,0,6.36,1.16,5.83,1.14,0,1,-1,6,11,21,23,0.35294117647058826,0.4772727272727273
Dimitrov G.,Shang J.,10,91,1,1.16,6.52,1.14,5.84,1,0,1,46,32,3,2,0.5897435897435898,0.6
Darderi L.,Musetti L.,37,25,0,4.44,1.26,4.1,1.24,0,1,-1,2,6,18,10,0.25,0.6428571428571429
Rune H.,Seyboth Wild T.,15,74,1,1.14,7.4,1.12,6.51,1,0,1,12,8,2,2,0.6,0.5
Fritz T.,Rinderknech A.,12,76,1,1.1,10.74,1.07,8.76,3,0,3,41,24,11,15,0.6307692307692307,0.4230769230769231
Machac T.,Safiullin R.,39,44,0,2.29,1.74,2.18,1.69,0,2,-2,3,4,8,8,0.42857142857142855,0.5
Ruusuvuori E.,Tsitsipas S.,87,11,1,4.58,1.26,4.2,1.23,1,2,-1,11,12,23,18,0.4782608695652174,0.5609756097560976
Fils A.,Hurkacz H.,34,7,1,4.78,1.29,3.93,1.26,1,0,1,6,5,26,15,0.5454545454545454,0.6341463414634146
Djokovic N.,Fearnley J.,2,277,1,1.03,31.64,1.02,16.83,1,0,1,117,18,4,5,0.8666666666666667,0.4444444444444444
Kokkinakis T.,Pouille L.,93,212,0,1.54,2.75,1.49,2.63,1,1,0,5,7,20,16,0.4166666666666667,0.5555555555555556
Giron M.,Zverev A.,46,4,0,8.05,1.14,6.63,1.11,0,4,-4,18,17,45,22,0.5142857142857142,0.6716417910447762
Mpetshi G.,Nishioka Y.,58,90,1,1.61,2.51,1.58,2.4,2,0,2,5,6,4,12,0.45454545454545453,0.25
De Minaur A.,Munar J.,9,63,1,1.05,19.0,1.03,12.81,3,0,3,33,19,4,13,0.6346153846153846,0.23529411764705882
Draper J.,Norrie C.,28,42,0,1.36,3.65,1.31,3.47,0,3,-3,18,8,22,21,0.6923076923076923,0.5116279069767442
Karatsev A.,Khachanov K.,99,22,0,5.74,1.19,5.12,1.17,1,4,-3,4,8,28,17,0.3333333333333333,0.6222222222222222
Djere L.,Pouille L.,51,212,0,2.65,1.57,2.53,1.52,0,1,-1,8,17,20,16,0.32,0.5555555555555556
McDonald M.,Ruusuvuori E.,96,87,0,2.45,1.68,2.29,1.62,1,3,-2,19,18,11,12,0.5135135135135135,0.4782608695652174
Cerundolo F.,Safiullin R.,30,44,0,2.19,1.78,2.1,1.73,1,1,0,7,9,8,8,0.4375,0.5
Bautista Agut R.,Sonego L.,112,54,1,1.66,2.52,1.59,2.37,1,0,1,44,21,23,20,0.676923076923077,0.5348837209302325
Fognini F.,Ruud C.,94,8,1,5.25,1.22,4.61,1.2,1,2,-1,25,24,5,9,0.5102040816326531,0.35714285714285715
Struff J.L.,Zhang Zh.,41,38,1,1.32,4.48,1.25,4.03,2,0,2,26,33,6,8,0.4406779661016949,0.42857142857142855
Medvedev D.,Muller A.,5,102,1,1.05,21.0,1.02,14.42,2,0,2,51,24,2,4,0.68,0.3333333333333333
Berrettini M.,Sinner J.,59,1,0,5.63,1.2,5.02,1.18,0,2,-2,41,11,22,10,0.7884615384615384,0.6875
Goffin D.,Machac T.,83,39,0,2.38,1.74,2.21,1.67,0,2,-2,30,25,3,4,0.5454545454545454,0.42857142857142855
Nishikori K.,Rinderknech A.,401,76,0,3.26,1.41,3.11,1.37,0,1,-1,38,27,11,15,0.5846153846153846,0.4230769230769231
Nakashima B.,Thompson J.,65,40,1,1.74,2.3,1.69,2.19,5,2,3,18,14,32,31,0.5625,0.5079365079365079
Eubanks C.,Halys Q.,62,220,0,2.05,1.88,1.99,1.84,0,1,-1,15,10,8,8,0.6,0.5
Alcaraz C.,Vukic A.,3,69,1,1.03,25.81,1.02,15.73,1,0,1,29,3,10,11,0.90625,0.47619047619047616
Humbert U.,Van De Zandschulp B.,16,97,1,1.29,4.35,1.26,3.89,4,0,4,29,23,9,10,0.5576923076923077,0.47368421052631576
