PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff
Fery A.,Medvedev D.,391,3,0,39.1,1.02,21.06,1.01,0,1,-1
Bonzi B.,Mayot H.,94,181,0,2.47,1.67,2.32,1.62,0,1,-1
Djokovic N.,Thompson J.,2,70,1,1.04,21.62,1.02,15.44,1,0,1
Machac T.,Norrie C.,108,13,0,5.32,1.3,4.48,1.21,0,2,-2
Murray A.,Peniston R.,40,268,1,1.12,8.4,1.1,7.38,1,0,1
Alcaraz C.,Chardy J.,1,542,1,1.03,34.08,1.01,19.5,1,0,1
Etcheverry T.,Zapata Miralles B.,32,53,1,1.63,3.27,1.41,2.95,2,0,2
Evans D.,Halys Q.,30,79,0,1.95,2.15,1.85,1.97,0,1,-1
Gojo B.,Marterer M.,112,170,0,1.9,2.26,1.79,2.04,0,1,-1
Lokoli L.,Ruud C.,199,4,0,6.0,1.2,5.22,1.17,0,1,-1
Choinski J.,Lajovic D.,164,56,1,2.75,1.56,2.59,1.51,1,0,1
Goffin D.,Marozsan F.,123,96,1,1.6,2.91,1.5,2.61,1,0,1
Auger-Aliassime F.,Mmoh M.,12,119,0,1.16,8.01,1.11,6.6,0,1,-1
Altmaier D.,Vukic A.,66,87,0,3.03,1.54,2.84,1.44,0,1,-1
Baez S.,Barrios M.,46,133,0,1.92,2.2,1.77,2.08,1,1,0
Molcan A.,Ymer M.,83,59,0,3.11,1.55,2.85,1.43,0,1,-1
Kecmanovic M.,Schwartzman D.,41,98,0,1.58,2.8,1.47,2.69,1,4,-3
Galan D.E.,Nishioka Y.,85,27,1,2.25,1.81,2.13,1.73,1,0,1
Hurkacz H.,Ramos-Vinolas A.,18,76,1,1.08,13.0,1.06,10.31,3,0,3
Broady L.,Lestienne C.,142,74,1,1.57,2.76,1.5,2.6,1,0,1
Musetti L.,Varillas J.P.,16,63,1,1.08,13.5,1.05,10.47,1,0,1
Koepfer D.,Otte O.,86,233,0,2.36,1.74,2.21,1.68,0,1,-1
Couacaud E.,Wolf J.J.,158,48,0,4.53,1.32,4.05,1.25,0,1,-1
Cachin P.,Djokovic N.,68,2,0,34.0,1.02,20.89,1.01,0,1,-1
Ruusuvuori E.,Wawrinka S.,47,88,0,1.45,3.51,1.35,3.21,1,1,0
Gasquet R.,Moutet C.,51,71,0,1.66,2.55,1.58,2.39,0,1,-1
Purcell M.,Rublev A.,64,7,0,11.22,1.1,8.82,1.07,0,1,-1
Cerundolo J.M.,Sinner J.,111,8,0,22.3,1.03,15.74,1.02,0,1,-1
Nakashima B.,Thompson J.,55,70,0,2.06,1.95,1.94,1.89,5,2,3
Bublik A.,McDonald M.,26,54,1,1.52,2.95,1.45,2.76,2,1,1
Karatsev A.,Van Assche L.,50,75,1,1.84,2.45,1.67,2.24,1,0,1
Isner J.,Munar J.,103,109,0,1.45,3.3,1.39,3.03,0,1,-1
Djokovic N.,Kyrgios N.,3,40,1,1.33,4.25,1.28,3.81,1,2,-1
Djokovic N.,Norrie C.,3,12,1,1.11,13.1,1.06,9.75,5,0,5
Kyrgios N.,Nadal R.,40,4,1,1.7,2.5,1.61,2.34,4,6,-2
Fritz T.,Nadal R.,14,4,0,3.0,1.5,2.84,1.44,2,2,0
Garin C.,Kyrgios N.,43,40,0,4.95,1.25,4.5,1.21,0,1,-1
Goffin D.,Norrie C.,58,12,0,3.06,1.48,2.88,1.43,0,3,-3
Djokovic N.,Sinner J.,3,13,1,1.13,7.94,1.11,6.82,4,4,0
Nadal R.,Van De Zandschulp B.,4,25,1,1.18,6.0,1.15,5.38,2,0,2
De Minaur A.,Garin C.,27,43,0,1.21,6.43,1.16,5.34,4,1,3
Kyrgios N.,Nakashima B.,40,56,1,1.36,4.1,1.31,3.49,1,0,1
Fritz T.,Kubler J.,14,99,1,1.23,5.63,1.2,4.63,2,0,2
Norrie C.,Paul T.,12,32,1,1.62,2.65,1.53,2.53,3,2,1
Djokovic N.,Van Rijthoven T.,3,104,1,1.07,17.0,1.05,10.57,1,0,1
Goffin D.,Tiafoe F.,58,28,1,1.88,2.2,1.79,2.03,5,1,4
Alcaraz C.,Sinner J.,7,13,0,1.42,3.41,1.35,3.21,8,4,4
Kyrgios N.,Tsitsipas S.,40,5,1,1.85,2.2,1.76,2.09,3,0,3
Galan D.E.,Nakashima B.,109,56,0,7.75,1.15,6.65,1.11,0,2,-2
Nadal R.,Sonego L.,4,54,1,1.21,5.76,1.17,5.15,1,0,1
