PlayerA,PlayerB,RankA,RankB,RankDiff,Court,Surface,WinnerBinary
Diallo G.,Griekspoor T.,54,35,19.0,Outdoor,Clay,0
Draper J.,Monfils G.,5,42,-37.0,Outdoor,Clay,1
Fearnley J.,Humbert U.,55,21,34.0,Outdoor,Clay,1
Gasquet R.,Sinner J.,166,1,165.0,Outdoor,Clay,0
Gomez F.A.,Norrie C.,144,81,63.0,Outdoor,Clay,0
Djokovic N.,Moutet C.,6,73,-67.0,Outdoor,Clay,1
Rublev A.,Walton A.,15,91,-76.0,Outdoor,Clay,1
Fonseca J.,Herbert P.,65,147,-82.0,Outdoor,Clay,1
Gaston H.,Shelton B.,83,13,70.0,Outdoor,Clay,0
Khachanov K.,Ofner S.,24,108,-84.0,Outdoor,Clay,1
Borges N.,Ruud C.,41,8,33.0,Outdoor,Clay,1
Alcaraz C.,Marozsan F.,2,56,-54.0,Outdoor,Clay,1
Gigante M.,Tsitsipas S.,167,20,147.0,Outdoor,Clay,1
Dzumhur D.,Mpetshi G.,69,37,32.0,Outdoor,Clay,1
Halys Q.,Kecmanovic M.,52,46,6.0,Outdoor,Clay,1
Altmaier D.,Kopriva V.,66,86,-20.0,Outdoor,Clay,1
Fucsovics M.,Paul T.,124,12,112.0,Outdoor,Clay,0
Carreno Busta P.,Tiafoe F.,99,16,83.0,Outdoor,Clay,0
Galan D.E.,Musetti L.,122,7,115.0,Outdoor,Clay,0
Popyrin A.,Tabilo A.,25,61,-36.0,Outdoor,Clay,1
Brooksby J.,Korda S.,161,23,138.0,Outdoor,Clay,0
Cerundolo J.M.,Medjedovic H.,109,74,35.0,Outdoor,Clay,0
Nava E.,Rune H.,137,10,127.0,Outdoor,Clay,0
Navone M.,Opelka R.,97,93,4.0,Outdoor,Clay,1
De Jong J.,Passaro F.,88,139,-51.0,Outdoor,Clay,1
Medvedev D.,Norrie C.,11,81,-70.0,Outdoor,Clay,0
Bonzi B.,Herbert P.,60,147,-87.0,Outdoor,Clay,0
Dellien H.,Monfils G.,90,42,48.0,Outdoor,Clay,0
Arnaldi M.,Auger-Aliassime F.,36,27,9.0,Outdoor,Clay,1
Basilashvili N.,Rocha H.,133,200,-67.0,Outdoor,Clay,0
Marterer M.,Walton A.,239,91,148.0,Outdoor,Clay,0
Gomez F.A.,Kovacevic A.,144,76,68.0,Outdoor,Clay,1
Bellucci M.,Draper J.,68,5,63.0,Outdoor,Clay,0
Harris L.,Rublev A.,227,15,212.0,Outdoor,Clay,0
Mensik J.,Muller A.,19,39,-20.0,Outdoor,Clay,1
Dimitrov G.,Quinn E.,17,106,-89.0,Outdoor,Clay,1
Fonseca J.,Hurkacz H.,65,28,37.0,Outdoor,Clay,1
Cilic M.,Cobolli F.,104,26,78.0,Outdoor,Clay,0
Djokovic N.,McDonald M.,6,98,-92.0,Outdoor,Clay,1
Bublik A.,Duckworth J.,62,92,-30.0,Outdoor,Clay,1
Tien L.,Zverev A.,67,3,64.0,Outdoor,Clay,0
De Minaur A.,Djere L.,9,59,-50.0,Outdoor,Clay,1
Lajovic D.,Shevchenko A.,125,103,22.0,Outdoor,Clay,0
Moutet C.,Tabur C.,73,280,-207.0,Outdoor,Clay,1
Nishioka Y.,Popyrin A.,77,25,52.0,Outdoor,Clay,0
Baez S.,Kecmanovic M.,38,46,-8.0,Outdoor,Clay,0
Ofner S.,Struff J.L.,108,87,21.0,Outdoor,Clay,1
Fils A.,Jarry N.,14,149,-135.0,Outdoor,Clay,1
Davidovich Fokina A.,Llamas Ruiz P.,29,872,-843.0,Outdoor,Clay,1
Cazaux A.,Tabilo A.,113,61,52.0,Outdoor,Clay,0
Bautista Agut R.,Rune H.,49,10,39.0,Outdoor,Clay,0
Atmane T.,Gasquet R.,121,166,-45.0,Outdoor,Clay,0
Darderi L.,Korda S.,45,23,22.0,Outdoor,Clay,0
Altmaier D.,Fritz T.,66,4,62.0,Outdoor,Clay,1
Bu Y.,Misolic F.,70,153,-83.0,Outdoor,Clay,0
Giron M.,Griekspoor T.,43,35,8.0,Outdoor,Clay,0
Blanchet U.,Gaston H.,193,83,110.0,Outdoor,Clay,0
Lehecka J.,Thompson J.,34,40,-6.0,Outdoor,Clay,1
Martinez P.,Shapovalov D.,48,31,17.0,Outdoor,Clay,0
Khachanov K.,Vukic A.,24,80,-56.0,Outdoor,Clay,1
Ramos A.,Ruud C.,251,8,243.0,Outdoor,Clay,0
Alcaraz C.,Zeppieri G.,2,310,-308.0,Outdoor,Clay,1
Fearnley J.,Wawrinka S.,55,138,-83.0,Outdoor,Clay,1
Cerundolo F.,Diallo G.,18,54,-36.0,Outdoor,Clay,0
Etcheverry T.,Tsitsipas S.,53,20,33.0,Outdoor,Clay,0
Humbert U.,O Connell C.,21,82,-61.0,Outdoor,Clay,1
Munar J.,Ugo Carabelli C.,57,51,6.0,Outdoor,Clay,1
Rinderknech A.,Sinner J.,75,1,74.0,Outdoor,Clay,0
Borges N.,Jacquet K.,41,150,-109.0,Outdoor,Clay,1
Galan D.E.,Royer V.,122,120,2.0,Outdoor,Clay,1
Shelton B.,Sonego L.,13,44,-31.0,Outdoor,Clay,1
Kopriva V.,Monteiro T.,86,131,-45.0,Outdoor,Clay,1
Moller E.,Paul T.,112,12,100.0,Outdoor,Clay,0
Nakashima B.,Navone M.,32,97,-65.0,Outdoor,Clay,0
Brooksby J.,Faria J.,161,115,46.0,Outdoor,Clay,1
Bergs Z.,Mpetshi G.,50,37,13.0,Outdoor,Clay,0
Dzumhur D.,Tirante T.A.,69,132,-63.0,Outdoor,Clay,1
Hijikata R.,Opelka R.,78,93,-15.0,Outdoor,Clay,0
Halys Q.,Machac T.,52,22,30.0,Outdoor,Clay,1
Fucsovics M.,Schoolkate T.,124,128,-4.0,Outdoor,Clay,1
Gigante M.,Hassan B.,167,220,-53.0,Outdoor,Clay,1
Cerundolo J.M.,Michelsen A.,109,33,76.0,Outdoor,Clay,1
Hanfmann Y.,Musetti L.,142,7,135.0,Outdoor,Clay,0
Marozsan F.,Nardi L.,56,95,-39.0,Outdoor,Clay,1
Majchrzak K.,Medjedovic H.,96,74,22.0,Outdoor,Clay,0
Safiullin R.,Tiafoe F.,72,16,56.0,Outdoor,Clay,0
Nava E.,Van De Zandschulp B.,137,89,48.0,Outdoor,Clay,1
Carreno Busta P.,Comesana F.,99,64,35.0,Outdoor,Clay,1
Cobolli F.,Rublev A.,35,17,18.0,Outdoor,Clay,1
Djokovic N.,Hurkacz H.,6,31,-25.0,Outdoor,Clay,1
Hurkacz H.,Ofner S.,31,128,-97.0,Outdoor,Clay,1
Auger-Aliassime F.,Rublev A.,30,17,13.0,Outdoor,Clay,0
Djokovic N.,Norrie C.,6,90,-84.0,Outdoor,Clay,1
Cobolli F.,Etcheverry T.,35,55,-20.0,Outdoor,Clay,1
Auger-Aliassime F.,Muller A.,30,40,-10.0,Outdoor,Clay,1
Arnaldi M.,Djokovic N.,39,6,33.0,Outdoor,Clay,0
Norrie C.,Popyrin A.,90,25,65.0,Outdoor,Clay,1
Bautista Agut R.,Cobolli F.,57,35,22.0,Outdoor,Clay,0
Etcheverry T.,Lehecka J.,55,37,18.0,Outdoor,Clay,1
Khachanov K.,Ofner S.,24,128,-104.0,Outdoor,Clay,0
Fritz T.,Hurkacz H.,4,31,-27.0,Outdoor,Clay,0
Darderi L.,Rublev A.,45,17,28.0,Outdoor,Clay,0
Borges N.,Ofner S.,41,128,-87.0,Outdoor,Clay,0
Khachanov K.,Nishikori K.,24,62,-38.0,Outdoor,Clay,1
Hurkacz H.,Rinderknech A.,31,72,-41.0,Outdoor,Clay,1
Djokovic N.,Fucsovics M.,6,134,-128.0,Outdoor,Clay,1
Fearnley J.,Popyrin A.,54,25,29.0,Outdoor,Clay,0
Etcheverry T.,Ugo Carabelli C.,55,52,3.0,Outdoor,Clay,1
Bautista Agut R.,Tiafoe F.,57,15,42.0,Outdoor,Clay,1
Auger-Aliassime F.,Mpetshi G.,30,32,-2.0,Outdoor,Clay,1
Cerundolo F.,Lehecka J.,18,37,-19.0,Outdoor,Clay,0
Darderi L.,Nakashima B.,45,29,16.0,Outdoor,Clay,1
Arnaldi M.,Marozsan F.,39,56,-17.0,Outdoor,Clay,1
Fritz T.,Halys Q.,4,50,-46.0,Outdoor,Clay,1
Muller A.,Zverev A.,40,3,37.0,Outdoor,Clay,1
Machac T.,Norrie C.,21,90,-69.0,Outdoor,Clay,0
Cobolli F.,Davidovich Fokina A.,35,26,9.0,Outdoor,Clay,1
Engel J.,Rublev A.,333,17,316.0,Outdoor,Clay,0
Bublik A.,Mpetshi G.,51,32,19.0,Outdoor,Clay,0
Kecmanovic M.,Rinderknech A.,46,72,-26.0,Outdoor,Clay,0
Marozsan F.,Sell K.,56,300,-244.0,Outdoor,Clay,1
Davidovich Fokina A.,Monfils G.,26,42,-16.0,Outdoor,Clay,1
Altmaier D.,Auger-Aliassime F.,66,30,36.0,Outdoor,Clay,0
Cazaux A.,Hurkacz H.,113,31,82.0,Outdoor,Clay,0
Comesana F.,Etcheverry T.,64,55,9.0,Outdoor,Clay,0
Bu Y.,Tiafoe F.,70,15,55.0,Outdoor,Clay,0
Cobolli F.,Sachko V.,35,235,-200.0,Outdoor,Clay,1
Baez S.,Ugo Carabelli C.,36,52,-16.0,Outdoor,Clay,0
Collignon R.,Nakashima B.,84,29,55.0,Outdoor,Clay,0
Gakhov I.,Ofner S.,265,128,137.0,Outdoor,Clay,0
Fearnley J.,Lajovic D.,54,124,-70.0,Outdoor,Clay,1
Bergs Z.,Fucsovics M.,49,134,-85.0,Outdoor,Clay,0
Dzumhur D.,Rublev A.,69,17,52.0,Outdoor,Clay,0
Norrie C.,Stricker D.,90,233,-143.0,Outdoor,Clay,1
Bautista Agut R.,Giron M.,57,43,14.0,Outdoor,Clay,1
Nishikori K.,Tien L.,62,67,-5.0,Outdoor,Clay,1
Arnaldi M.,Gaston H.,39,74,-35.0,Outdoor,Clay,1
Halys Q.,Munar J.,50,58,-8.0,Outdoor,Clay,1
Kovacevic A.,Zverev A.,80,3,77.0,Outdoor,Clay,0
Gojo B.,Lehecka J.,255,37,218.0,Outdoor,Clay,0
Engel J.,Struff J.L.,333,86,247.0,Outdoor,Clay,1
Muller A.,Ymer E.,40,279,-239.0,Outdoor,Clay,1
Cerundolo F.,Martinez P.,18,48,-30.0,Outdoor,Clay,1
Darderi L.,Dedura D.,45,372,-327.0,Outdoor,Clay,1
Alcaraz C.,Sinner J.,3,1,2.0,Outdoor,Clay,1
Borges N.,Michelsen A.,41,33,8.0,Outdoor,Clay,1
Jarry N.,Popyrin A.,150,25,125.0,Outdoor,Clay,0
Alcaraz C.,Musetti L.,3,9,-6.0,Outdoor,Clay,1
Paul T.,Sinner J.,12,1,11.0,Outdoor,Clay,0
Ruud C.,Sinner J.,7,1,6.0,Outdoor,Clay,0
Hurkacz H.,Paul T.,31,12,19.0,Outdoor,Clay,0
